CIF Number,CustName,Address,Mobile,MartialStatus,Dependents,CustType,BirthDay,Sex,Organization,Job,Experience,Salary,Existing time,Credit Score
24,Phạm Hồng Đức,"Trương Gia Mô, Quận 2, TP.HCM",+842614707606,Married,Yes,Individual,1997-08-07,Male,N/A,DevOps,6,40555000,4,669
25,Lý Tuấn Khải,"Đường 3052A Phạm Thế Hiển, Quận 8, TP.HCM",+84559878770,Married,Yes,Individual,1994-09-28,Male,N/A,Product Owner,1,13592000,9,586
26,Phạm Bích Nga,"Lộc Hưng, Quận Tân Bình, TP.HCM",+84860622259,Married,Yes,Organization,1987-10-20,Female,Bosch Global Software Technologies Company Limited,Full-stack Developer,0,3190000,8,306
27,Lê Gia Huy,"Thạnh Xuân 25, Quận 12, TP.HCM",+84990670881,Married,Yes,Individual,1955-03-29,Male,N/A,Game Developer,4,21714000,4,593
28,Nguyễn Phong Ðộ,"Công Chúa Ngọc Hân, Quận 11, TP.HCM",+84841757437,Married,Yes,Organization,1957-07-02,Male,VNG Corporation,Data Analyst,10,46473000,5,581
29,Hoàng Thanh Lan,"Tỉnh Lộ 15, Huyện Củ Chi, TP.HCM",+842935456261,Single,No,Individual,1970-06-19,Female,N/A,Blockchain Engineer,10,73474000,9,718
30,Hồ Dạ Hương,"An Phú, Quận 3, TP.HCM",+842922554689,Married,Yes,Organization,1956-04-24,Female,Zuhlke Engineering Vietnam,ERP ConsultantSolution Architect,8,55886000,7,629
31,Ngô Minh Hào,"Đường số 61, Quận 9, TP.HCM",+84939075034,Married,Yes,Individual,1974-06-13,Male,N/A,Project Manager,3,28768000,7,301
32,Lê Hoàng Hiệp,"Âu Cơ, Quận Tân Bình, TP.HCM",+84813403974,Married,Yes,Organization,1993-06-27,Male,Tyme,Embedded Engineer,7,55336000,2,618
33,Dương Sỹ Ðan,"Đường số 8, Quận 7, TP.HCM",+842748426570,Single,Yes,Organization,1968-11-07,Male,Bosch Global Software Technologies Company Limited,ERP Engineer,9,63367000,5,470
34,Nguyễn Hạ Vy,"Đường số 26, Thành phố Thủ Đức, TP.HCM",+84839354047,Married,Yes,Organization,1990-10-27,Female,Zuhlke Engineering Vietnam,Embedded Engineer,7,38006000,1,812
35,Lý Thanh Ngọc,"Đường số 60, Quận 2, TP.HCM",+842691206857,Married,Yes,Organization,1975-06-07,Female,FPT IS,IT Consultant,5,61550000,3,435
36,Đỗ Trường Phu,"Lê Minh Xuân, Bình Chánh, TP.HCM",+84916508260,Single,No,Individual,1963-10-28,Male,N/A,AI Engineer,7,38304000,1,849
37,Hoàng Ánh Thơ,"Lê Văn Lương, Nhà Bè, TP.HCM",+842976639891,Married,Yes,Individual,1991-03-28,Female,N/A,Mobile Developer,5,38324000,6,540
38,Bùi Hồng Quang,"Đô Đốc Long, Quận Tân Phú, TP.HCM",+842625221930,Single,No,Individual,1996-12-03,Male,N/A,System Admin,3,33123000,9,416
39,Dương Bảo Pháp,"Nguyễn Văn Nguyên, Quận 1, TP.HCM",+84896300907,Married,Yes,Organization,1965-06-11,Male,Tyme,Business Intelligence AnalystData Scientist,1,13844000,1,462
40,Hồ Ðăng Ðạt,"Đường số 339, Quận 9, TP.HCM",+84814795635,Single,Yes,Individual,1999-10-27,Male,N/A,Tester,3,21454000,3,650
41,Vũ Minh Trang,"Đường số 275, Quận 9, TP.HCM",+842524566474,Single,No,Individual,1988-09-03,Female,N/A,Product Manager,4,22166000,3,731
42,Hoàng Thanh Hằng,"Đường số 16, Quận 9, TP.HCM",+84934336892,Single,Yes,Organization,1957-02-03,Female,Zuhlke Engineering Vietnam,Designer,0,4350000,7,487
43,Phan Ðức Ân,"Đường số 40, Quận 3, TP.HCM",+84982368731,Single,Yes,Organization,1989-11-07,Male,Absolute Software (Vietnam) Ltd,Back-end Developer,5,43405000,0,426
44,Hồ Thiện Ðức,"Đường 20D, Nhà Bè, TP.HCM",+84914870014,Single,Yes,Individual,1969-05-07,Male,N/A,DevOps,3,31888000,7,730
45,Huỳnh Kiều Nguyệt,"Đường số 85, Quận 7, TP.HCM",+84700737410,Single,No,Individual,1974-09-18,Female,N/A,ERP ConsultantSolution Architect,0,20192000,10,326
46,Huỳnh Xuân Loan,"Trần Quý, Quận 10, TP.HCM",+842718424052,Married,Yes,Individual,1974-11-10,Female,N/A,IT Support,9,47654000,9,404
47,Đặng Việt Sơn,"Trần Chánh Chiếu, Quận 5, TP.HCM",+84993201366,Single,Yes,Individual,1993-09-22,Male,N/A,Project Leader,10,71826000,7,777
48,Võ An Nam,"Phan Đình Phùng, Quận Phú Nhuận, TP.HCM",+842995947484,Single,No,Organization,1967-09-22,Male,Trusting Social,Designer,7,49748000,8,355
49,Võ Thanh Quang,"Lê Thọ Xuân, Huyện Củ Chi, TP.HCM",+84953112833,Single,Yes,Organization,1983-07-24,Male,NFQ Asia,Blockchain Engineer,6,31246000,3,713
50,Ngô Phi Khanh,"Thảo Điền, Quận 3, TP.HCM",+842281795533,Single,Yes,Organization,1979-12-16,Female,LG Electronics Development Vietnam (LGEDV),Database Engineer,2,18871000,9,453
51,Trương Thanh Thanh,"Đường số 144, Quận 9, TP.HCM",+84977074294,Single,Yes,Organization,1962-07-28,Female,Hybrid Technologies,Game Developer,8,48358000,9,673
52,Đoàn Minh Huấn,"Bến Cỏ, Huyện Củ Chi, TP.HCM",+84899270440,Single,No,Individual,1995-01-17,Male,N/A,System Admin,7,37830000,4,472
53,Phạm Thụy Miên,"Đỗ Quang, Quận 2, TP.HCM",+842937268036,Single,Yes,Individual,1977-12-05,Male,N/A,Back-end Developer,9,48730000,7,586
54,Lý Công Lý,"Bàn Cờ, Quận 10, TP.HCM",+842947788443,Single,Yes,Individual,1970-10-17,Male,N/A,Product Owner,6,34091000,9,418
55,Vũ Thúy Hà,"An Phú, Quận 2, TP.HCM",+84942690522,Single,No,Organization,1975-05-14,Female,GeoComply (GeoTech Hub Vietnam),AI Engineer,7,69769000,2,424
56,Võ Kiệt Võ,"Đường số 9, Thành phố Thủ Đức, TP.HCM",+842964994676,Single,Yes,Organization,1991-09-10,Male,Employment Hero,Data Analyst,7,54774000,2,543
57,Đoàn Lan Khuê,"Mai Xuân Thưởng, Quận 11, TP.HCM",+84993510043,Single,No,Organization,1984-04-18,Female,Employment Hero,Mobile Developer,2,17192000,9,658
58,Lý Anh Khải,"Nguyễn Văn Đậu, Quận Phú Nhuận, TP.HCM",+84528252147,Single,Yes,Individual,2000-07-12,Male,N/A,System Engineer,6,43669000,9,780
59,Lý Ngọc Khôi,"Mai Lão Bạng, Quận Tân Bình, TP.HCM",+842914765336,Married,Yes,Individual,1993-02-16,Male,N/A,Game Developer,0,4758000,6,427
60,Trần Tuấn Tài,"Đường số 29, Quận 2, TP.HCM",+842773279678,Single,Yes,Organization,1962-05-04,Male,Home Credit Vietnam,System Admin,4,36450000,6,639
61,Phan Hữu Bảo,"Lê Thạch, Quận 4, TP.HCM",+842729495446,Single,No,Individual,1980-11-25,Male,N/A,Helpdesk,7,31505000,9,483
62,Huỳnh Song Thư,"Đường số 2, Quận 11, TP.HCM",+842962375266,Single,Yes,Organization,1997-12-15,Female,"Niteco Vietnam Co., Ltd",Business Analyst,2,16498000,0,413
63,Nguyễn Nhã Sương,"Cao Xuân Dục, Quận 8, TP.HCM",+84996670475,Single,Yes,Organization,1962-01-02,Female,Tyme,Embedded Engineer,1,14351000,3,321
64,Hoàng Kim Thu,"Đường TX 43, Quận 12, TP.HCM",+842774992495,Married,Yes,Individual,1991-06-24,Female,N/A,IT Manager,7,38055000,4,320
65,Võ Ngọc Ẩn,"Mai Văn Ngọc, Quận Phú Nhuận, TP.HCM",+84345223803,Married,Yes,Organization,1987-11-07,Male,Home Credit Vietnam,Tester,2,17281000,7,563
66,Hoàng Quỳnh Giang,"Đường số 12, Hóc Môn, TP.HCM",+842975482796,Single,Yes,Organization,1956-11-27,Female,Hybrid Technologies,Tester,4,21261000,10,316
67,Dương Tấn Thành,"Yersin, Quận 1, TP.HCM",+842930536473,Single,No,Organization,1966-07-28,Male,LG Electronics Development Vietnam (LGEDV),Full-stack Developer,4,23343000,8,357
68,Đặng Thúy Quỳnh,"Đường số 54, Quận 2, TP.HCM",+84931349996,Married,Yes,Individual,1986-09-15,Female,N/A,Designer,4,39214000,3,444
69,Dương Ðức Giang,"2 Hoàng Quốc Việt, Quận 7, TP.HCM",+84523807607,Married,Yes,Organization,1986-05-12,Male,Zuhlke Engineering Vietnam,Front-end Developer,3,20653000,4,370
70,Hoàng Trang Tâm,"Đường số 762, Quận 11, TP.HCM",+842927814571,Single,No,Individual,1992-10-05,Female,N/A,Project Manager,7,60365000,9,819
71,Đoàn Trọng Nghĩa,"Tân Kỳ Tân Quý, Quận Tân Bình, TP.HCM",+842920594470,Married,Yes,Individual,1968-11-17,Male,N/A,Helpdesk,2,17514000,0,377
72,Nguyễn Anh Sơn,"Đại Nghĩa, Quận Tân Bình, TP.HCM",+842960233572,Married,Yes,Organization,1983-06-14,Male,VNG Corporation,Database Engineer,7,44536000,9,764
73,Lê Thu Thảo,"Đường DC3, Quận Tân Phú, TP.HCM",+84559852743,Married,Yes,Individual,1979-01-30,Female,N/A,DevSecOps Engineer,7,59014000,5,567
74,Bùi Lan Anh,"Lê Sát, Quận Tân Phú, TP.HCM",+842706068395,Single,Yes,Individual,1978-07-31,Female,N/A,Product Manager,0,28177000,6,576
75,Hoàng Hồng Ðăng,"Nguyễn Huy Lượng, Quận Bình Thạnh, TP.HCM",+842731168654,Single,Yes,Individual,1980-10-07,Male,N/A,DevOps,7,46468000,0,490
76,Phạm Hương Trà,"Nối Phạm Thế Hiển-BaTơ, Quận 8, TP.HCM",+842969320575,Single,No,Organization,1998-03-15,Female,GeoComply (GeoTech Hub Vietnam),Embedded Engineer,7,69155000,2,408
77,Vũ Kim Yến,"Trần Văn Kiểu, Quận 5, TP.HCM",+842767945571,Married,Yes,Organization,1958-03-31,Female,LG Electronics Development Vietnam (LGEDV),Database Engineer,2,19286000,7,394
78,Trương Tuyết Chi,"An Nhơn, Quận Gò Vấp, TP.HCM",+84990311075,Married,Yes,Individual,1955-05-05,Female,N/A,IT Manager,5,59151000,0,622
79,Đoàn Nguyệt Nga,"Đường 284 Cao Lỗ, Quận 8, TP.HCM",+842777607704,Single,No,Individual,1978-01-22,Female,N/A,Mobile Developer,2,17837000,0,579
80,Trần Thái Tổ,"Đường số 1, Quận 6, TP.HCM",+84559351674,Single,No,Organization,1966-05-25,Male,NAB Innovation Centre Vietnam,Product Manager,8,65550000,7,609
81,Võ Nhan Hồng,"Đồng Bà Canh, Hóc Môn, TP.HCM",+842691309275,Married,Yes,Individual,1979-12-03,Female,N/A,ERP Engineer,0,4309000,2,728
82,Đặng Vân Du,"Ấp Nam Thới, Hóc Môn, TP.HCM",+84995525997,Single,Yes,Individual,1959-10-19,Female,N/A,Project Leader,3,23082000,9,737
83,Đặng Nghi Minh,"Lê Lợi, Quận Gò Vấp, TP.HCM",+842942398912,Married,Yes,Individual,1990-06-17,Female,N/A,Front-end Developer,2,15176000,7,343
84,Huỳnh Bình Ðịnh,"Phạm Bân, Quận 5, TP.HCM",+84987964632,Single,Yes,Individual,1969-12-27,Male,N/A,Data Analyst,10,65441000,9,557
85,Dương Khánh Hoàng,"Đội Cung, Quận 11, TP.HCM",+84913094620,Single,No,Organization,1967-12-13,Male,NAB Innovation Centre Vietnam,Front-end Developer,7,32193000,7,534
86,Lý Liên Hương,"Xóm Chiếu, Quận 4, TP.HCM",+84994677508,Single,Yes,Organization,1976-04-01,Female,GeoComply (GeoTech Hub Vietnam),Product Manager,2,26049000,2,838
87,Bùi Trọng Tấn,"Đường 817A, Quận 8, TP.HCM",+84975891859,Married,Yes,Individual,1963-05-19,Male,N/A,Database Engineer,6,30161000,3,309
88,Phan Phi Khanh,"Bắc Bình, Quận Bình Thạnh, TP.HCM",+84811030973,Single,No,Individual,1977-06-10,Female,N/A,Project Manager,0,34780000,7,824
89,Huỳnh Đoan Trang,"Đường số 27, Quận 3, TP.HCM",+842705241978,Single,Yes,Individual,1976-09-02,Female,N/A,ERP ConsultantSolution Architect,5,67041000,10,608
90,Hồ Vân Linh,"Đường số 57B, Quận Bình Tân, TP.HCM",+842836363834,Single,Yes,Individual,1984-03-31,Female,N/A,Tech Lead,10,45499000,6,707
91,Huỳnh Yến Oanh,"Đường số 46, Quận 2, TP.HCM",+842720461170,Single,Yes,Individual,1977-10-12,Female,N/A,Mobile Developer,2,15697000,8,449
92,Huỳnh Song Lam,"An Dương Vương, Quận 5, TP.HCM",+84862667616,Single,Yes,Organization,1969-01-01,Female,Zuhlke Engineering Vietnam,Embedded Engineer,9,50829000,5,530
93,Lê Quốc Hưng,"Ngô Y Linh, Quận Bình Tân, TP.HCM",+842764111697,Single,Yes,Organization,1990-06-17,Male,Employment Hero,Data Engineer,10,41558000,7,562
94,Lý Quốc Vũ,"Đường số 10, Quận 4, TP.HCM",+84928782241,Single,No,Individual,1955-10-27,Male,N/A,Blockchain Engineer,0,4140000,8,746
95,Bùi Hải Duyên,"Đường 101, Huyện Củ Chi, TP.HCM",+842940671420,Single,No,Individual,1976-06-25,Female,N/A,Data Analyst,3,34852000,2,843
96,Huỳnh Ngọc Tuấn,"Phan Tôn, Quận 1, TP.HCM",+842933150359,Married,Yes,Organization,1977-10-11,Male,Tyme,Blockchain Engineer,3,22960000,3,370
97,Phạm Khả Ái,"Lê Đại, Quận Tân Phú, TP.HCM",+84523463894,Single,Yes,Individual,1977-04-29,Female,N/A,Mobile Developer,0,4293000,8,640
98,Vũ Bảo Huy,"Bình Thới, Quận 11, TP.HCM",+84708973189,Married,Yes,Individual,1963-03-24,Male,N/A,IT Consultant,9,51123000,9,385
99,Hoàng Uyên Nhi,"Đường số 26, Bình Chánh, TP.HCM",+842853480271,Married,Yes,Individual,1962-05-23,Female,N/A,System Admin,0,4398000,7,630
100,Võ Quỳnh Giang,"Đường D2, Quận Bình Thạnh, TP.HCM",+842749509357,Married,Yes,Organization,1986-11-13,Female,Hybrid Technologies,Blockchain Engineer,10,66289000,9,301
101,Bùi Lương Quyền,"Tiền Chế, Quận 6, TP.HCM",+84990751840,Single,No,Individual,1986-07-02,Male,N/A,Cloud Engineer,3,31947000,4,776
102,Lê Công Hiếu,"Nguyễn Văn Đượm, Quận 1, TP.HCM",+842926937542,Single,Yes,Individual,1980-03-15,Male,N/A,Blockchain Engineer,3,30145000,10,790
103,Ngô Kiều Mỹ,"Lữ Gia, Quận 10, TP.HCM",+84885114683,Single,No,Individual,1978-07-10,Female,N/A,Data Analyst,9,41598000,4,514
104,Lê Nam An,"Tân Trụ, Quận Tân Bình, TP.HCM",+84596004038,Single,No,Individual,2006-03-16,Male,N/A,IT Support,0,4200000,2,442
105,Hồ Ðình Phú,"Đặng Văn Ngữ, Quận Phú Nhuận, TP.HCM",+842590401348,Married,Yes,Organization,1968-09-09,Male,Zuhlke Engineering Vietnam,Product Owner,3,32716000,10,667
106,Ngô Bình Dân,"Đường số 109, Quận 9, TP.HCM",+84995684225,Single,Yes,Organization,2001-10-18,Male,Zuhlke Engineering Vietnam,Designer,2,16290000,2,729
107,Phạm Vân Sơn,"Xuân Thủy, Quận 2, TP.HCM",+842969667446,Single,No,Individual,1981-01-27,Male,N/A,Tester,1,14125000,1,359
108,Hồ Ái Khanh,"Tự Lập, Quận Tân Bình, TP.HCM",+84999049569,Married,Yes,Organization,1990-09-11,Female,Trusting Social,Project Manager,2,31605000,10,693
109,Trần Hiền Nương,"Hồ Văn Huê, Quận Phú Nhuận, TP.HCM",+842925191220,Single,Yes,Individual,1967-11-06,Female,N/A,Product Manager,4,33810000,3,381
110,Đặng Yến Mai,"Mai Am, Quận 8, TP.HCM",+842918382581,Married,Yes,Individual,1986-02-27,Female,N/A,Front-end Developer,7,35054000,0,704
111,Ngô Bảo Trúc,"Đường số 48, Thành phố Thủ Đức, TP.HCM",+842093148254,Married,Yes,Individual,1969-04-11,Female,N/A,ERP Engineer,10,65757000,9,586
112,Lý Ðại Ngọc,"Đường số 5, Quận 6, TP.HCM",+842918279590,Single,No,Organization,1985-09-07,Male,Absolute Software (Vietnam) Ltd,Blockchain Engineer,5,53672000,2,339
113,Đặng Thăng Long,"Thích Quảng Đức, Quận Phú Nhuận, TP.HCM",+842618005527,Single,Yes,Organization,1976-04-19,Male,Employment Hero,IT Manager,9,61253000,4,422
114,Nguyễn Nhật Lan,"Nguyễn Chí Thanh, Quận 11, TP.HCM",+842638235711,Single,No,Organization,1995-10-31,Female,Zuhlke Engineering Vietnam,System Engineer,5,53371000,8,417
115,Lý Bảo Hân,"Trung Đông 11, Hóc Môn, TP.HCM",+842739565152,Married,Yes,Organization,1993-03-27,Female,Home Credit Vietnam,IT Manager,10,52473000,3,323
116,Ngô Tường Minh,"Tiền Chế, Quận 6, TP.HCM",+842702728851,Married,Yes,Organization,1994-12-23,Male,GeoComply (GeoTech Hub Vietnam),Helpdesk,2,17201000,2,342
117,Đặng Thế An,"Bông Sao, Quận 8, TP.HCM",+84996205319,Married,Yes,Individual,1962-05-14,Male,N/A,Product Owner,10,69530000,7,399
118,Phạm Ðình Chương,"Hồ Bá Kiện, Quận 10, TP.HCM",+842932879026,Single,No,Individual,1963-03-04,Male,N/A,Game Developer,6,50067000,2,785
119,Đỗ Tuyết Hân,"Nguyễn Thượng Hiền, Quận Gò Vấp, TP.HCM",+84565388628,Single,No,Individual,1988-03-22,Female,N/A,Helpdesk,8,49475000,1,622
120,Dương An Nguyên,"Đường số 23, Quận 2, TP.HCM",+842911337880,Married,Yes,Organization,1990-02-20,Male,Home Credit Vietnam,Helpdesk,2,18694000,10,669
121,Lý Thanh Tùng,"Đường số 31, Quận 2, TP.HCM",+84897490052,Married,Yes,Individual,1993-12-04,Male,N/A,Database Engineer,3,26672000,6,775
122,Trương An Bình,"Lê Thị Hồng, Quận Gò Vấp, TP.HCM",+84906258716,Single,No,Individual,1995-03-01,Female,N/A,Helpdesk,1,12016000,9,571
123,Bùi Khắc Dũng,"Đông Hưng Thuận 30, Quận 12, TP.HCM",+84899642745,Married,Yes,Individual,1984-02-19,Male,N/A,Product Owner,6,41335000,4,364
124,Vũ Lam Giang,"Châu Thới, Quận 10, TP.HCM",+842615097395,Single,No,Individual,1960-09-28,Female,N/A,Game Developer,9,72645000,2,399
125,Lê Long Giang,"Trần Quốc Tuấn, Quận Gò Vấp, TP.HCM",+842759595746,Married,Yes,Organization,1967-05-05,Male,NFQ Asia,Back-end Developer,6,62896000,4,314
126,Võ Uyên Nhi,"Đường số 47, Quận Gò Vấp, TP.HCM",+84886736716,Married,Yes,Individual,1970-07-17,Female,N/A,IT Consultant,9,42785000,8,502
127,Trương Diệu Loan,"Nguyễn Uẩn Sang, Quận Tân Phú, TP.HCM",+842906391465,Married,Yes,Individual,1957-12-12,Female,N/A,ERP Engineer,10,67861000,3,338
128,Lý Mỹ Tâm,"Tầm Vu, Quận Bình Thạnh, TP.HCM",+842735521811,Single,Yes,Organization,1966-07-25,Female,Home Credit Vietnam,Project Manager,6,40843000,10,780
129,Hồ Gia Ðức,"Lê Khôi, Quận Tân Phú, TP.HCM",+84933320507,Single,Yes,Organization,1957-07-16,Male,Absolute Software (Vietnam) Ltd,Game Developer,0,4183000,8,742
130,Ngô Hồng Khôi,"Khiếu Năng Tỉnh, Bình Chánh, TP.HCM",+842630209853,Married,Yes,Organization,1967-06-12,Female,"Niteco Vietnam Co., Ltd",ERP Engineer,9,57448000,7,583
131,Bùi Cường Dũng,"Đường số 34, Quận 6, TP.HCM",+842928893549,Single,Yes,Individual,1997-09-30,Male,N/A,Helpdesk,4,21006000,2,800
132,Trần Đoan Thanh,"Đường số 44, Quận 4, TP.HCM",+842759909314,Married,Yes,Individual,1972-03-30,Female,N/A,IT Manager,6,34064000,6,817
133,Đặng Ðông Phong,"Cù Chính Lan, Quận Tân Bình, TP.HCM",+84899275679,Single,Yes,Organization,1998-03-06,Male,NAB Innovation Centre Vietnam,Mobile Developer,4,26070000,10,619
134,Nguyễn Như Ngọc,"Nguyễn Duy, Quận 8, TP.HCM",+84942752568,Single,Yes,Organization,1965-10-24,Female,Bosch Global Software Technologies Company Limited,AI Engineer,0,3110000,3,805
135,Đoàn Lương Tuyền,"Quân Sự, Quận 11, TP.HCM",+84528886923,Married,Yes,Organization,2003-07-01,Male,Tyme,Mobile Developer,2,18990000,1,763
136,Phạm Hoài Thương,"Bửu Long, Quận 10, TP.HCM",+84974380297,Single,No,Organization,1976-07-25,Female,NAB Innovation Centre Vietnam,ERP ConsultantSolution Architect,3,38518000,10,743
137,Lê Linh Duyên,"Trần Văn Kiểu, Quận 6, TP.HCM",+842915507688,Single,No,Individual,1954-09-01,Female,N/A,DevOps,10,43029000,9,794
138,Huỳnh Hiếu Dụng,"Đường số 32A, Quận 4, TP.HCM",+842544961312,Single,Yes,Individual,1978-02-10,Male,N/A,Designer,0,4737000,5,593
139,Lý Nhân Sâm,"Tiền Giang, Quận Tân Bình, TP.HCM",+842768759681,Married,Yes,Individual,1975-12-21,Male,N/A,Blockchain Engineer,4,37153000,3,577
140,Trương Hữu Khoát,"Đường số 5, Huyện Củ Chi, TP.HCM",+84995560525,Married,Yes,Organization,1989-01-15,Male,NAB Innovation Centre Vietnam,Embedded Engineer,0,3165000,7,744
141,Hoàng Triệu Thái,"Đường 817A, Quận 8, TP.HCM",+84522764384,Single,Yes,Individual,1977-08-21,Male,N/A,System Engineer,4,21186000,6,500
142,Bùi Hồng Nhuận,"Vạn Hạnh 1, Hóc Môn, TP.HCM",+842623597979,Married,Yes,Individual,1988-05-11,Male,N/A,Project Leader,8,33629000,5,549
143,Ngô Duy Tâm,"Tân Quy Đông, Quận 7, TP.HCM",+842724135400,Married,Yes,Individual,1997-01-30,Male,N/A,QA-QC,3,31243000,1,761
144,Trần Ngọc Khanh,"Bàu Cát 9, Quận Tân Bình, TP.HCM",+84899595855,Single,No,Organization,1994-11-06,Female,Zuhlke Engineering Vietnam,Product Owner,9,57876000,6,753
145,Đặng Xuân Ninh,"Đường số 34, Quận 4, TP.HCM",+842765030357,Married,Yes,Organization,1999-08-20,Male,SmartOSC,Data Analyst,4,24763000,8,396
146,Hồ Bảo Thoa,"Đường 101, Huyện Củ Chi, TP.HCM",+842909450593,Married,Yes,Organization,1960-12-26,Female,"Niteco Vietnam Co., Ltd",System Engineer,3,25500000,5,389
147,Lê Ðình Quảng,"Nguyễn Đình Chiểu, Quận 3, TP.HCM",+842933189784,Married,Yes,Individual,1987-02-17,Male,N/A,Cloud Engineer,2,17054000,6,497
148,Hoàng Trọng Nghĩa,"Đường số 43, Quận 4, TP.HCM",+842719151939,Married,Yes,Organization,1996-08-29,Male,"Niteco Vietnam Co., Ltd",IT Consultant,6,60449000,1,511
149,Lê Thúy My,"Đường số 4, Quận Gò Vấp, TP.HCM",+84358702369,Single,No,Individual,1976-10-06,Female,N/A,Tester,0,3943000,8,461
150,Đặng Phương Dung,"Đường số 21, Quận 2, TP.HCM",+842618890631,Single,Yes,Organization,1985-02-21,Female,Employment Hero,System Engineer,10,65493000,0,446
151,Hoàng Mai Phương,"Tân Sơn Nhì, Quận Tân Bình, TP.HCM",+842911468437,Married,Yes,Individual,1958-02-01,Female,N/A,IT Manager,0,26407000,3,772
